bias,alpha_0,alpha_1,alpha_2
-0.141714357197,0.0953995594759,-1.15132000197,-1.61395183923
-0.141714357197,-0.142702101257,-1.32158388893,-1.19775720752
-0.141714357197,-0.142702101257,-1.32158388893,-1.19775720752
-0.141714357197,-0.142702101257,-1.32158388893,-1.19775720752
-0.141714357197,-0.142702101257,-1.32158388893,-1.19775720752
-0.141714357197,-0.142702101257,-1.32158388893,-1.19775720752
-0.141714357197,-0.142702101257,-1.32158388893,-1.19775720752
-0.141714357197,-0.142702101257,-1.32158388893,-1.19775720752
-0.141714357197,-0.142702101257,-1.32158388893,-1.19775720752
-0.141714357197,-0.0182731514701,-2.46891194995,-0.430183237149
-0.141714357197,-0.0182731514701,-2.46891194995,-0.430183237149
-0.141714357197,-0.0182731514701,-2.46891194995,-0.430183237149
-0.141714357197,-0.0182731514701,-2.46891194995,-0.430183237149
-0.141714357197,-0.0182731514701,-2.46891194995,-0.430183237149
-0.141714357197,-0.0182731514701,-2.46891194995,-0.430183237149
-0.141714357197,-0.0182731514701,-2.46891194995,-0.430183237149
-0.141714357197,-0.0182731514701,-2.46891194995,-0.430183237149
-0.141714357197,-0.0182731514701,-2.46891194995,-0.430183237149
-0.141714357197,-0.0182731514701,-2.46891194995,-0.430183237149
-0.141714357197,-0.0182731514701,-2.46891194995,-0.430183237149
-0.150084147869,-0.0182731514701,-2.46891194995,-0.430183237149
-0.150084147869,-0.0182731514701,-2.46891194995,-0.430183237149
-0.150084147869,-0.0182731514701,-2.46891194995,-0.430183237149
-0.0723084934839,-0.0182731514701,-2.46891194995,-0.430183237149
-0.0723084934839,-0.0182731514701,-2.46891194995,-0.430183237149
-0.110577490669,-0.0182731514701,-2.46891194995,-0.430183237149
-0.110577490669,-0.0182731514701,-2.46891194995,-0.430183237149
-0.110577490669,-0.0182731514701,-2.46891194995,-0.430183237149
-0.110577490669,-0.0182731514701,-2.46891194995,-0.430183237149
-0.110577490669,-0.0182731514701,-2.46891194995,-0.430183237149
-0.110577490669,-0.0182731514701,-2.46891194995,-0.430183237149
-0.110577490669,-0.0182731514701,-2.46891194995,-0.430183237149
-0.110577490669,-0.0182731514701,-2.46891194995,-0.430183237149
-0.110577490669,-0.0182731514701,-2.46891194995,-0.430183237149
-0.110577490669,-0.0182731514701,-2.46891194995,-0.430183237149
-0.110577490669,-0.0182731514701,-2.46891194995,-0.430183237149
-0.110577490669,-0.0182731514701,-2.46891194995,-0.430183237149
-0.0478509933395,-0.0182731514701,-2.46891194995,-0.430183237149
-0.0478509933395,-0.0182731514701,-2.46891194995,-0.430183237149
-0.0478509933395,-0.0182731514701,-2.46891194995,-0.430183237149
-0.0478509933395,-0.0182731514701,-2.46891194995,-0.430183237149
-0.0478509933395,-0.0182731514701,-2.46891194995,-0.430183237149
-0.0478509933395,-0.0182731514701,-2.46891194995,-0.430183237149
-0.0478509933395,-0.0182731514701,-2.46891194995,-0.430183237149
-0.0478509933395,-0.0182731514701,-2.46891194995,-0.430183237149
-0.0478509933395,-0.0182731514701,-2.46891194995,-0.430183237149
-0.0478509933395,-0.0182731514701,-2.46891194995,-0.430183237149
-0.0853402125876,-0.0182731514701,-2.46891194995,-0.430183237149
-0.0853402125876,-0.0182731514701,-2.46891194995,-0.430183237149
-0.0853402125876,-0.0182731514701,-2.46891194995,-0.430183237149
-0.0853402125876,-0.0182731514701,-2.46891194995,-0.430183237149
-0.0853402125876,-0.208541923228,-2.37763781879,-0.389883887931
-0.0853402125876,-0.208541923228,-2.37763781879,-0.389883887931
-0.0853402125876,-0.208541923228,-2.37763781879,-0.389883887931
-0.0853402125876,-0.208541923228,-2.37763781879,-0.389883887931
-0.0853402125876,-0.208541923228,-2.37763781879,-0.389883887931
-0.0853402125876,-0.208541923228,-2.37763781879,-0.389883887931
-0.0853402125876,-0.208541923228,-2.37763781879,-0.389883887931
-0.0853402125876,-0.359065257641,-0.945281093006,-0.423234319327
-0.0853402125876,-0.359065257641,-0.945281093006,-0.423234319327
-0.0853402125876,-0.359065257641,-0.945281093006,-0.423234319327
-0.0853402125876,-0.359065257641,-0.945281093006,-0.423234319327
-0.0853402125876,-0.359065257641,-0.945281093006,-0.423234319327
-0.0853402125876,-0.359065257641,-0.945281093006,-0.423234319327
-0.0853402125876,-0.359065257641,-0.945281093006,-0.423234319327
-0.0853402125876,-0.359065257641,-0.945281093006,-0.423234319327
-0.0853402125876,-0.359065257641,-0.945281093006,-0.423234319327
-0.0853402125876,-0.359065257641,-0.945281093006,-0.423234319327
-0.0853402125876,-0.359065257641,-0.945281093006,-0.423234319327
-0.0853402125876,-0.359065257641,-0.945281093006,-0.423234319327
-0.0853402125876,-1.14470770082,-0.629174543354,-0.171765590267
-0.0853402125876,-1.14470770082,-0.629174543354,-0.171765590267
-0.0853402125876,-1.14470770082,-0.629174543354,-0.171765590267
-0.0853402125876,-1.14470770082,-0.629174543354,-0.171765590267
-0.0853402125876,-1.14470770082,-0.629174543354,-0.171765590267
-0.0853402125876,-1.14470770082,-0.629174543354,-0.171765590267
-0.0853402125876,-1.14470770082,-0.629174543354,-0.171765590267
-0.0853402125876,-1.14470770082,-0.629174543354,-0.171765590267
-0.0853402125876,-1.14470770082,-0.629174543354,-0.171765590267
-0.0853402125876,-1.14470770082,-0.629174543354,-0.171765590267
